Designator,Mid X,Mid Y,Rotation,Layer
C101,42.177,-36.068,0.0,top
C102,44.958,-27.94,0.0,top
C103,44.834251,-34.434509,180.0,top
C301,31.991,-26.67,0.0,top
C302,33.261,-33.001999,180.0,top
J101,34.544,-23.622,270.0,bottom
J102,34.544,-38.862,270.0,bottom
J103,27.178,-31.242,90.0,bottom
J201,48.514,-31.242,180.0,top
J301,23.173,-31.246,270.0,top
R301,30.035,-33.02,0.0,top
R302,29.464,-28.893,90.0,top
U101,38.993,-31.3105,0.0,top
U301,33.274,-29.718,270.0,top
Y101,44.702674,-31.245928,90.0,top
